rank,title,rating
1,The Shawshank Redemption,9.3
2,The Godfather,9.2
3,The Dark Knight,9.1
4,The Godfather Part II,9.0
5,The Lord of the Rings: The Return of the King,9.0
6,12 Angry Men,9.0
7,Schindler's List,9.0
8,The Lord of the Rings: The Fellowship of the Ring,8.9
9,Pulp Fiction,8.8
10,The Lord of the Rings: The Two Towers,8.8
11,"The Good, the Bad and the Ugly",8.8
12,Forrest Gump,8.8
13,Fight Club,8.8
14,Inception,8.8
15,Star Wars: Episode V - The Empire Strikes Back,8.7
16,The Matrix,8.7
17,Interstellar,8.7
18,GoodFellas,8.7
19,One Flew Over the Cuckoo's Nest,8.6
20,Seven,8.6
21,It's a Wonderful Life,8.6
22,The Silence of the Lambs,8.6
23,Saving Private Ryan,8.6
24,Seven Samurai,8.6
25,The Green Mile,8.6
26,City of God,8.6
27,Life Is Beautiful,8.6
28,Terminator 2: Judgment Day,8.6
29,Back to the Future,8.5
30,Star Wars: Episode IV - A New Hope,8.6
31,Kill Bill: The Whole Bloody Affair,8.7
32,Spirited Away,8.6
33,Gladiator,8.5
34,The Pianist,8.5
35,Parasite,8.5
36,Grave of the Fireflies,8.5
37,Harakiri,8.6
38,Psycho,8.5
39,The Lion King,8.5
40,The Departed,8.5
41,Whiplash,8.5
42,The Prestige,8.5
43,American History X,8.5
44,Spider-Man: Across the Spider-Verse,8.5
45,Léon: The Professional,8.5
46,Cinema Paradiso,8.5
47,Casablanca,8.5
48,The Intouchables,8.5
49,The Usual Suspects,8.5
50,Django Unchained,8.5
51,Alien,8.4
52,Rear Window,8.4
53,Modern Times,8.5
54,Once Upon a Time in the West,8.5
55,City Lights,8.5
56,WALL·E,8.4
57,Apocalypse Now,8.4
58,Memento,8.4
59,The Odyssey,8.4
60,Avengers: Infinity War,8.4
61,Dune: Part Two,8.4
62,Raiders of the Lost Ark,8.4
63,Spider-Man: Into the Spider-Verse,8.4
64,The Lives of Others,8.4
65,Sunset Boulevard,8.4
66,Witness for the Prosecution,8.4
67,Paths of Glory,8.4
68,The Shining,8.4
69,Inglourious Basterds,8.4
70,The Great Dictator,8.4
71,Aliens,8.4
72,12th Fail,8.7
73,High and Low,8.4
74,Avengers: Endgame,8.4
75,Good Will Hunting,8.4
76,Coco,8.4
77,Toy Story,8.3
78,The Dark Knight Rises,8.4
79,Amadeus,8.4
80,Your Name.,8.4
81,3 Idiots,8.4
82,Das Boot,8.3
83,Braveheart,8.3
84,Princess Mononoke,8.3
85,Oldboy,8.3
86,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
87,American Beauty,8.3
88,Capernaum,8.4
89,Singin' in the Rain,8.3
90,Once Upon a Time in America,8.3
91,Joker,8.3
92,Toy Story 3,8.3
93,Star Wars: Episode VI - Return of the Jedi,8.3
94,Come and See,8.3
95,Requiem for a Dream,8.3
96,Ikiru,8.3
97,Incendies,8.3
98,The Hunt,8.3
99,Attack on Titan: The Last Attack,8.9
100,Eternal Sunshine of the Spotless Mind,8.3
101,The Apartment,8.3
102,Lawrence of Arabia,8.3
103,Heat,8.3
104,Scarface,8.3
105,Reservoir Dogs,8.2
106,2001: A Space Odyssey,8.3
107,Up,8.3
108,Double Indemnity,8.3
109,Like Stars on Earth,8.3
110,North by Northwest,8.3
111,Full Metal Jacket,8.2
112,I Swear,8.4
113,A Separation,8.3
114,M,8.3
115,Die Hard,8.2
116,Amélie,8.2
117,Vertigo,8.2
118,Citizen Kane,8.2
119,To Kill a Mockingbird,8.2
120,Indiana Jones and the Last Crusade,8.2
121,The Sting,8.2
122,A Clockwork Orange,8.2
123,Metropolis,8.2
124,1917,8.2
125,The Wolf of Wall Street,8.2
126,Snatch,8.2
127,The Truman Show,8.2
128,Downfall,8.2
129,Shutter Island,8.2
130,Woman in the Dunes,8.4
131,L.A. Confidential,8.2
132,Dangal,8.3
133,Green Book,8.2
134,Bicycle Thieves,8.2
135,Judgment at Nuremberg,8.3
136,Jurassic Park,8.2
137,Batman Begins,8.2
138,Oppenheimer,8.2
139,For a Few Dollars More,8.2
140,Hamilton,8.3
141,There Will Be Blood,8.2
142,Some Like It Hot,8.2
143,Taxi Driver,8.2
144,The Father,8.2
145,The Kid,8.2
146,All About Eve,8.2
147,The Sixth Sense,8.2
148,Ran,8.2
149,Casino,8.2
150,The Thing,8.2
151,No Country for Old Men,8.2
152,Prisoners,8.2
153,Top Gun: Maverick,8.2
154,Kill Bill: Vol. 1,8.2
155,Pan's Labyrinth,8.2
156,Unforgiven,8.2
157,A Beautiful Mind,8.2
158,Project Hail Mary,8.2
159,Howl's Moving Castle,8.2
160,The Treasure of the Sierra Madre,8.2
161,Demon Slayer: Kimetsu No Yaiba Infinity Castle,8.4
162,Finding Nemo,8.2
163,Klaus,8.2
164,Yojimbo,8.2
165,The Elephant Man,8.2
166,The Great Escape,8.2
167,Monty Python and the Holy Grail,8.1
168,Dial M for Murder,8.1
169,The Secret in Their Eyes,8.2
170,Gone with the Wind,8.2
171,"Lock, Stock and Two Smoking Barrels",8.1
172,Chinatown,8.1
173,Catch Me If You Can,8.1
174,V for Vendetta,8.1
175,The Best of Youth,8.4
176,Dead Poets Society,8.1
177,Inside Out,8.1
178,Trainspotting,8.1
179,Harry Potter and the Deathly Hallows: Part 2,8.1
180,"Three Billboards Outside Ebbing, Missouri",8.1
181,The Bridge on the River Kwai,8.1
182,Rashomon,8.1
183,Barry Lyndon,8.1
184,The Wild Robot,8.1
185,Ben-Hur,8.1
186,Warrior,8.1
187,Hacksaw Ridge,8.1
188,Fargo,8.1
189,Mad Max: Fury Road,8.1
190,Ratatouille,8.1
191,Million Dollar Baby,8.1
192,Children of Heaven,8.2
193,My Neighbor Totoro,8.1
194,Gran Torino,8.1
195,Raging Bull,8.1
196,12 Years a Slave,8.1
197,How to Train Your Dragon,8.1
198,Memories of Murder,8.1
199,The Grand Budapest Hotel,8.1
200,Before Sunrise,8.1
201,"Monsters, Inc.",8.1
202,Blade Runner,8.1
203,Gone Girl,8.1
204,Ford v Ferrari,8.1
205,Jaws,8.1
206,In the Name of the Father,8.1
207,Spider-Man: No Way Home,8.1
208,Chainsaw Man - The Movie: Reze Arc,8.3
209,Wild Tales,8.1
210,The Gold Rush,8.1
211,Sherlock Jr.,8.1
212,Mary and Max,8.1
213,A Silent Voice: The Movie,8.2
214,The Wages of Fear,8.1
215,The Deer Hunter,8.1
216,Logan,8.1
217,Rocky,8.1
218,Pirates of the Caribbean: The Curse of the Black Pearl,8.1
219,The General,8.1
220,Mr. Smith Goes to Washington,8.1
221,Tokyo Story,8.1
222,La haine,8.1
223,Spotlight,8.1
224,Jai Bhim,8.6
225,Maharaja,8.3
226,The Sound of Music,8.1
227,The Terminator,8.1
228,Wild Strawberries,8.1
229,On the Waterfront,8.1
230,The Best Years of Our Lives,8.1
231,The Third Man,8.1
232,The Big Lebowski,8.1
233,The Incredibles,8.0
234,Before Sunset,8.1
235,Hachi: A Dog's Tale,8.1
236,The Chaos Class Failed the Class,8.4
